<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.12	801.390	809.730	801.390	807.490	7050	7049	150
2017.05.15	804.650	820.730	795.040	795.040	8878	8878	150
2017.05.16	794.490	809.150	787.070	795.780	9922	9922	190
2017.05.17	795.760	799.720	777.530	782.980	9647	9647	400
2017.05.18	782.970	785.810	757.350	762.190	9085	9085	160
2017.05.19	762.080	769.160	758.250	759.180	10933	10933	180
2017.05.22	757.800	774.040	751.710	770.360	9316	9315	490
2017.05.23	770.360	779.260	768.520	774.860	9650	9650	370
2017.05.24	774.910	775.480	759.020	765.170	8729	8728	260
2017.05.25	765.320	773.340	763.010	773.050	7538	7538	220
2017.05.26	772.160	792.510	769.490	791.750	11808	11807	360
2017.05.29	791.010	802.150	791.010	799.790	3786	3785	500
2017.05.30	799.790	807.740	792.950	806.340	7346	7346	240
2017.05.31	806.310	822.730	804.290	818.760	9612	9612	150
2017.06.01	818.310	828.990	812.120	827.990	10572	10570	150
2017.06.02	827.940	843.850	824.280	841.740	11065	11064	150
2017.06.05	840.660	848.780	837.820	843.260	9547	9544	150
2017.06.06	842.940	858.750	841.660	853.210	8461	8461	150
2017.06.07	852.840	859.430	830.800	834.460	8331	8328	150
2017.06.08	834.510	860.860	834.110	858.430	7045	7044	150
2017.06.09	858.430	903.220	853.330	903.120	2333	2229	1470
2017.06.15	854.360	868.120	850.180	865.610	2582	2582	4780
2017.06.16	865.610	874.170	859.320	862.660	6818	6817	400
2017.06.19	859.390	870.270	853.270	856.890	6088	6088	4660
2017.06.20	857.290	875.160	854.810	872.300	7177	7177	1470
2017.06.21	872.300	887.710	866.310	884.310	9163	9163	2400
2017.06.22	884.180	890.060	880.070	883.860	7141	7140	3930
2017.06.23	883.830	894.310	856.110	856.130	9864	9864	2390
2017.06.26	855.470	871.730	849.410	870.850	7743	7743	2120
2017.06.27	870.810	873.470	858.670	861.120	4569	4569	330
2017.06.28	861.110	866.600	854.710	857.340	5148	5148	1060
2017.06.29	857.510	862.900	845.670	848.680	6051	6051	2520
2017.06.30	848.690	848.690	834.220	841.290	4900	4900	1270
2017.07.03	838.110	847.500	836.960	846.440	2975	2975	2190
2017.07.04	846.540	859.320	843.020	853.100	1841	1839	2920
2017.07.05	853.100	857.980	834.180	839.990	3599	3598	1760
2017.07.06	840.410	845.510	830.630	834.740	2374	2374	2640
2017.07.07	834.630	841.840	828.330	839.670	2901	2892	1520
2017.07.10	837.360	843.760	829.120	843.290	3144	3144	730
2017.07.11	843.280	854.670	837.100	851.730	3147	3147	670
2017.07.12	851.630	868.890	848.360	864.440	3655	3655	980
2017.07.13	864.420	873.330	853.540	857.770	3151	3151	1220
2017.07.14	857.710	868.960	854.210	860.380	4799	4799	810
2017.07.17	856.560	869.040	853.260	864.060	3369	3369	760
2017.07.18	866.480	869.820	861.760	863.720	3389	3389	1520
2017.07.19	863.940	871.810	858.110	858.410	3177	3177	1450
2017.07.20	858.440	858.440	835.610	846.060	5450	5450	1530
2017.07.21	845.980	856.940	841.680	844.290	3572	3572	930
2017.07.24	841.610	854.090	840.010	850.970	4671	4671	670
2017.07.25	851.650	865.540	848.270	858.440	3213	3213	810
2017.07.26	858.830	870.010	851.720	865.910	4968	4968	150
2017.07.27	866.210	885.930	866.210	877.510	5418	5418	140
2017.07.28	877.450	883.080	868.950	879.730	4404	4404	1180
2017.07.31	881.010	898.220	877.560	885.090	5608	5607	170
2017.08.01	885.140	900.700	882.060	893.820	5394	5394	1150
2017.08.02	893.670	905.730	888.570	894.470	5739	5736	3150
2017.08.03	891.970	897.730	880.770	882.030	5236	5234	2800
2017.08.04	882.030	889.180	875.510	876.250	3909	3905	1060
2017.08.07	874.860	887.760	867.010	887.210	2745	2745	1500
2017.08.08	886.810	900.510	883.720	899.650	5979	5976	150
2017.08.09	899.400	899.550	888.780	890.130	5479	5478	160
2017.08.10	890.120	904.920	889.110	897.960	4863	4861	1020
2017.08.11	898.030	901.370	891.870	893.480	5863	5863	1970
2017.08.14	891.540	900.470	891.440	896.480	3516	3515	800
2017.08.15	896.270	897.800	879.940	887.810	4548	4548	210
2017.08.16	887.700	915.200	885.870	914.340	4712	4712	150
2017.08.17	914.420	929.270	911.260	922.340	4344	4344	1210
2017.08.18	922.240	933.530	918.490	922.960	3225	3225	1090
2017.08.21	920.710	939.960	919.320	938.460	3729	3728	1010
2017.08.22	938.550	938.780	928.560	929.920	5361	5361	1000
2017.08.23	927.510	936.380	924.590	933.520	4252	4252	1030
2017.08.24	933.780	936.220	929.230	933.020	4534	4534	1270
2017.08.25	929.890	940.530	925.440	925.860	5575	5572	3270
2017.08.28	927.260	938.080	925.510	934.300	5076	5076	1510
2017.08.29	937.460	949.630	934.150	943.570	7233	7228	140
2017.08.30	943.500	946.310	928.810	929.980	5472	5472	1320
2017.08.31	930.900	939.570	927.510	934.720	6270	6270	2110
2017.09.01	934.710	982.930	931.620	979.160	8597	8597	1150
2017.09.04	979.610	1001.210	970.400	973.450	3418	3416	1560
2017.09.05	973.550	990.170	954.770	957.550	6868	6861	340
2017.09.06	957.960	965.730	935.920	941.530	8989	8989	1170
2017.09.07	941.250	959.170	935.930	955.810	7651	7651	600
