<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.04	1063.680	1066.240	1048.150	1055.090	3198	0	0
2016.05.05	1054.700	1068.260	1048.220	1061.180	3523	0	0
2016.05.06	1059.800	1082.430	1057.200	1078.520	5503	0	0
2016.05.09	1073.650	1076.540	1039.170	1043.290	5043	0	0
2016.05.10	1042.240	1054.350	1038.990	1053.180	4838	0	0
2016.05.11	1052.500	1073.790	1050.910	1065.840	7047	0	0
2016.05.12	1066.060	1068.830	1045.790	1046.750	7372	0	0
2016.05.13	1045.940	1059.020	1036.770	1050.740	6662	0	0
2016.05.16	1050.520	1062.290	1048.370	1049.970	5330	0	0
2016.05.17	1049.830	1060.250	1040.440	1053.360	5171	0	0
2016.05.18	1053.340	1055.240	1023.940	1026.770	6997	0	0
2016.05.19	1024.920	1030.260	1007.720	1014.210	6709	0	0
2016.05.20	1013.650	1027.750	1013.650	1021.410	4978	0	0
2016.05.23	1020.160	1025.960	1003.470	1010.360	4473	0	0
2016.05.24	1010.360	1012.860	995.990	998.060	3199	0	0
2016.05.25	996.480	1004.630	989.030	991.710	3277	0	0
2016.05.26	990.990	1009.250	988.270	991.050	3514	0	0
2016.05.27	992.640	998.040	973.540	975.540	3574	0	0
2016.05.30	976.630	979.090	965.260	968.300	2112	0	0
2016.05.31	968.090	981.720	967.850	978.100	4725	0	0
2016.06.01	977.900	984.340	966.710	970.170	5200	0	0
2016.06.02	969.390	976.630	955.780	957.520	5265	0	0
2016.06.03	956.590	987.000	953.520	985.500	5627	0	0
2016.06.06	983.990	996.100	982.800	995.140	5440	0	0
2016.06.07	994.590	1003.090	982.210	999.140	4059	0	0
2016.06.08	999.470	1019.940	996.940	1009.020	3656	0	0
2016.06.09	1008.720	1014.210	992.840	1001.680	3510	0	0
2016.06.10	1001.400	1001.920	992.890	994.370	706	0	0
2016.10.12	945.270	946.410	938.420	940.100	8926	0	0
2016.10.13	942.250	948.970	929.390	934.070	22361	0	0
2016.10.14	936.050	939.870	926.520	933.920	25456	0	0
2016.10.17	934.950	942.280	926.950	934.510	19458	0	0
2016.10.18	935.920	951.580	935.900	942.900	21150	0	0
2016.10.19	943.580	950.620	937.830	941.600	13874	0	0
2016.10.20	943.250	946.120	928.840	932.620	22816	0	0
2016.10.21	934.050	935.040	925.430	932.160	16708	0	0
2016.10.24	932.820	948.820	931.120	938.470	20161	0	0
2016.10.25	938.750	967.120	937.790	961.080	25580	0	0
2016.10.26	962.300	970.190	956.520	960.520	23180	0	0
2016.10.27	961.740	971.660	959.240	962.100	20374	0	0
2016.10.28	962.910	986.520	962.700	979.090	28269	0	0
2016.10.31	979.670	982.110	972.920	979.500	23124	0	0
2016.11.01	980.850	997.470	977.430	991.200	25420	0	0
2016.11.02	992.450	1001.870	983.620	989.020	30967	0	0
2016.11.03	989.450	998.630	973.800	994.710	25021	0	0
2016.11.04	994.630	1005.220	988.870	997.400	27453	0	0
2016.11.07	989.080	1002.030	985.980	998.230	19085	0	0
2016.11.08	999.850	1015.390	996.690	1002.250	27823	0	0
2016.11.09	1002.900	1021.070	993.950	999.700	42821	0	0
2016.11.10	1000.140	1007.190	970.740	973.240	37132	0	0
2016.11.11	973.650	984.620	934.680	942.070	42523	0	0
2016.11.14	941.550	949.950	921.730	929.300	37146	0	0
2016.11.15	931.450	946.820	928.760	936.910	25229	0	0
2016.11.16	936.600	948.380	924.880	941.920	21800	0	0
2016.11.17	943.900	951.200	931.970	932.050	22273	0	0
2016.11.18	933.450	934.980	914.400	920.400	27209	0	0
2016.11.21	921.660	941.570	919.420	937.200	24325	0	0
2016.11.22	937.450	950.030	933.280	938.250	22949	0	0
2016.11.23	939.150	944.990	917.550	929.670	23295	0	0
2016.11.24	930.150	933.120	911.180	911.210	13732	0	0
2016.11.25	913.520	918.910	904.170	906.000	17914	0	0
2016.11.28	906.150	924.010	906.080	922.580	25447	0	0
2016.11.29	922.110	928.810	915.820	916.120	22890	0	0
2016.11.30	917.350	926.070	903.180	909.420	26714	0	0
2016.12.01	911.450	917.520	897.920	915.230	28995	0	0
2016.12.02	915.780	934.930	913.710	927.970	29626	0	0
2016.12.05	934.740	940.860	923.800	935.450	33948	0	0
2016.12.06	937.520	951.870	933.270	934.100	23979	0	0
2016.12.07	934.050	949.840	927.250	939.710	22066	0	0
2016.12.08	940.760	951.580	934.610	936.830	27314	0	0
2016.12.09	936.940	939.290	912.220	914.540	26028	0	0
2016.12.12	913.870	935.880	910.430	931.540	32690	0	0
2016.12.13	932.070	938.970	923.850	933.780	27209	0	0
2016.12.14	934.210	947.620	921.460	923.510	31956	0	0
2016.12.15	923.230	933.720	888.520	895.080	37131	0	0
2016.12.16	896.110	935.300	894.880	926.140	28003	0	0
2016.12.19	926.470	931.610	914.180	915.140	28644	0	0
2016.12.20	914.950	923.590	900.720	920.170	25845	0	0
2016.12.21	920.750	921.160	909.330	914.860	15868	0	0
2016.12.22	916.260	919.500	903.810	904.030	15520	0	0
2016.12.23	904.820	909.680	890.000	890.000	11994	0	0
2016.12.27	895.810	910.590	894.510	901.360	10071	0	0
2016.12.28	902.810	907.210	891.120	895.030	11318	0	0
2016.12.29	899.220	907.510	896.400	897.290	18879	0	0
2016.12.30	898.320	907.860	898.320	901.100	18982	0	0
2017.01.03	901.810	944.960	899.710	935.420	24884	0	0
2017.01.04	935.700	949.450	924.730	941.530	25269	0	0
2017.01.05	942.950	976.210	940.830	966.560	29687	0	0
2017.01.06	968.480	970.810	957.480	967.640	25833	0	0
2017.01.09	968.360	982.070	964.470	975.610	19318	0	0
2017.01.10	977.190	981.000	966.640	976.870	28497	0	0
2017.01.11	978.100	982.280	960.070	971.080	32024	0	0
2017.01.12	971.110	990.420	971.000	976.160	27030	0	0
2017.01.13	976.580	986.100	965.270	983.010	23764	0	0
2017.01.16	985.220	988.940	980.340	981.860	13283	0	0
2017.01.17	981.950	993.200	972.920	974.040	34614	0	0
2017.01.18	975.040	978.810	959.410	961.420	23433	0	0
2017.01.19	962.090	966.750	948.030	957.920	22700	0	0
2017.01.20	957.950	980.260	952.770	976.570	29964	0	0
2017.01.23	976.560	984.810	973.200	980.620	33699	0	0
2017.01.24	981.560	1004.960	978.670	994.780	28960	0	0
2017.01.25	995.610	1000.130	972.110	978.460	33346	0	0
2017.01.26	980.410	987.210	966.280	976.270	28803	0	0
2017.01.27	976.480	984.980	961.100	984.130	25370	0	0
2017.01.30	984.140	991.370	974.430	988.170	25913	0	0
2017.01.31	988.450	998.840	985.500	994.160	32040	0	0
2017.02.01	993.800	1000.520	991.110	997.910	26751	0	0
2017.02.02	997.800	1011.950	995.680	998.490	26348	0	0
2017.02.03	998.910	1004.420	984.770	1003.130	24725	0	0
2017.02.06	1004.810	1015.270	1001.700	1013.540	23890	0	0
2017.02.07	1014.720	1015.010	1002.990	1003.810	21214	0	0
2017.02.08	1005.860	1019.180	1002.340	1016.130	22547	0	0
2017.02.09	1016.160	1028.660	1012.590	1012.960	25752	0	0
2017.02.10	1012.930	1013.730	990.060	1009.930	28061	0	0
2017.02.13	1008.150	1011.120	992.430	996.210	19339	0	0
2017.02.14	997.760	1008.500	995.410	1000.020	24739	0	0
2017.02.15	1000.560	1011.020	987.560	1009.740	23072	0	0
2017.02.16	1010.660	1018.600	1008.020	1011.710	27570	0	0
2017.02.17	1012.960	1016.070	1000.660	1001.740	22194	0	0
2017.02.20	1001.970	1005.640	997.280	1004.140	11349	0	0
2017.02.21	1003.500	1004.870	987.620	1001.380	23099	0	0
2017.02.22	1002.710	1004.980	995.470	1001.730	29793	0	0
2017.02.23	1002.200	1017.610	994.570	1007.970	30082	0	0
2017.02.24	1008.680	1028.730	1007.490	1026.980	25473	0	0
2017.02.27	1025.100	1044.340	1023.890	1026.240	29156	0	0
2017.02.28	1028.340	1036.120	1021.150	1021.970	29560	0	0
2017.03.01	1022.910	1027.450	1011.730	1014.360	38956	0	0
2017.03.02	1015.060	1017.340	980.890	984.910	35125	0	0
